startIp,endIp,continent,countryCode,country,state,city,zip,timezone,isDst,latitude,longitude,accuracy,sources
1.0.127.0,1.0.127.255,AS,JP,Japan,Tokyo,Tokyo,100-2211,Asia/Tokyo,0,35.6895,139.69232,1.2,tp1
1.0.128.0,1.0.128.255,AS,TH,Thailand,Songkhla,Hat Yai,90110,Asia/Jakarta,0,7.00836,100.47668,1.2,tp1
1.0.129.0,1.0.131.255,AS,TH,Thailand,Bangkok,Lak Si,10220,Asia/Jakarta,0,13.8983,100.582,1.1,tp2
1.0.132.0,1.0.132.255,AS,TH,Thailand,Saraburi,Phra Phutthabat,18120,Asia/Jakarta,0,14.72526,100.79536,1.2,tp1
1.0.133.0,1.0.135.255,AS,TH,Thailand,Bangkok,Sathorn,10200,Asia/Jakarta,0,13.74998,100.51682,1.1,tp1
1.0.136.0,1.0.136.255,AS,TH,Thailand,Prachuap Khiri Khan,Bang Saphan,77140,Asia/Jakarta,0,11.21259,99.51167,1.5,tp1;tp2
1.0.137.0,1.0.137.255,AS,TH,Thailand,Surat Thani,Ko Samui,84140,Asia/Jakarta,0,9.53567,99.93567,1.5,tp1;tp2
1.0.138.0,1.0.138.255,AS,TH,Thailand,Nakhon Phanom,Na Wa,48180,Asia/Jakarta,0,17.4897,104.10056,1.5,tp1;tp2
1.0.139.0,1.0.139.255,AS,TH,Thailand,Bangkok,Sathorn,10200,Asia/Jakarta,0,13.74998,100.51682,1.2,tp1
1.0.140.0,1.0.140.255,AS,TH,Thailand,Nakhon Sawan,Kao Liao,60230,Asia/Jakarta,0,15.85053,100.07914,1.5,tp1;tp2
1.0.141.0,1.0.141.255,AS,TH,Thailand,Rayong,Rayong,21000,Asia/Jakarta,0,12.68081,101.25769,1.2,tp1
1.0.142.0,1.0.143.255,AS,TH,Thailand,Bangkok,Sathorn,10200,Asia/Jakarta,0,13.74998,100.51682,1.1,tp1
1.0.144.0,1.0.144.255,AS,TH,Thailand,Phang Nga,Takua Thung,82130,Asia/Jakarta,0,8.38373,98.45123,1.5,tp1;tp2
1.0.145.0,1.0.145.255,AS,TH,Thailand,Phang Nga,Khura Buri,82150,Asia/Jakarta,0,9.19397,98.41514,1.2,tp1
1.0.146.0,1.0.146.255,AS,TH,Thailand,Phang Nga,Ko Yao,83110,Asia/Jakarta,0,8.11014,98.59231,1.5,tp1;tp2
1.0.147.0,1.0.147.255,AS,TH,Thailand,Nakhon Si Thammarat,Nakhon Si Thammarat,80230,Asia/Jakarta,0,8.43333,99.96667,1.2,tp1
1.0.148.0,1.0.148.255,AS,TH,Thailand,Chumphon,Pathio,86160,Asia/Jakarta,0,10.70908,99.3182,1.2,tp1
1.0.149.0,1.0.149.255,AS,TH,Thailand,Nakhon Si Thammarat,Tha Sala,80160,Asia/Jakarta,0,8.66733,99.93078,1.5,tp1;tp2
1.0.150.0,1.0.150.255,AS,TH,Thailand,Chumphon,Chumphon,86140,Asia/Jakarta,0,10.5,99.16667,1.2,tp1
1.0.151.0,1.0.151.255,AS,TH,Thailand,Nakhon Si Thammarat,Tha Sala,80160,Asia/Jakarta,0,8.61667,99.88333,1.2,tp1
1.0.152.0,1.0.152.255,AS,TH,Thailand,Nakhon Si Thammarat,Cha-uat,80180,Asia/Jakarta,0,7.96773,99.99985,1.2,tp1
1.0.153.0,1.0.153.255,AS,TH,Thailand,Nakhon Si Thammarat,Thung Yai,80240,Asia/Jakarta,0,8.30119,99.3661,1.5,tp1;tp2
1.0.154.0,1.0.154.255,AS,TH,Thailand,Surat Thani,Ko Samui,84140,Asia/Jakarta,0,9.53567,99.93567,1.2,tp1
1.0.155.0,1.0.155.255,AS,TH,Thailand,Phang Nga,Kapong,82000,Asia/Jakarta,0,8.69697,98.40914,1.2,tp1
1.0.156.0,1.0.156.255,AS,TH,Thailand,Nakhon Si Thammarat,Chulabhorn,80130,Asia/Jakarta,0,8.07597,99.86947,1.5,tp1;tp2
1.0.157.0,1.0.157.255,AS,TH,Thailand,Phang Nga,Khura Buri,82150,Asia/Jakarta,0,9.19397,98.41514,1.2,tp1
1.0.158.0,1.0.158.255,AS,TH,Thailand,Phang Nga,Kapong,82000,Asia/Jakarta,0,8.69697,98.40914,1.2,tp1
1.0.159.0,1.0.159.255,AS,TH,Thailand,Phang Nga,Khura Buri,82150,Asia/Jakarta,0,9.19397,98.41514,1.5,tp1;tp2
