startIp,endIp,continent,countryCode,country,state,city,zip,timezone,isDst,latitude,longitude,accuracy,sources
::ffff:100:6100,::ffff:100:64ff,AS,JP,Japan,Tokyo To,Tokyo,100-2211,Asia/Tokyo,0,35.6895,139.69232,1.2,tp1
::ffff:100:6500,::ffff:100:65ff,AS,JP,Japan,Tottori Ken,Tottori-shi,689-1326,Asia/Tokyo,0,35.50011,134.23284,1.2,tp1
::ffff:100:6600,::ffff:100:66ff,AS,JP,Japan,Shimane Ken,Izumo,699-0906,Asia/Tokyo,0,35.367,132.767,1.2,tp1
::ffff:100:6700,::ffff:100:67ff,AS,JP,Japan,Tokyo To,Tokyo,100-2211,Asia/Tokyo,0,35.6895,139.69232,1.2,tp1
::ffff:100:6800,::ffff:100:68ff,AS,JP,Japan,Tottori Ken,Yonago,689-3592,Asia/Tokyo,0,35.43274,133.3334,1.2,tp1
::ffff:100:6900,::ffff:100:69ff,AS,JP,Japan,Shimane Ken,Matsue,699-0496,Asia/Tokyo,0,35.467,133.05,1.2,tp1
::ffff:100:6a00,::ffff:100:6bff,AS,JP,Japan,Tokyo To,Tokyo,100-2211,Asia/Tokyo,0,35.6895,139.69232,1.2,tp1
::ffff:100:6c00,::ffff:100:6cff,AS,JP,Japan,Shimane Ken,Izumo,699-0906,Asia/Tokyo,0,35.367,132.767,1.2,tp1
::ffff:100:6d00,::ffff:100:6dff,AS,JP,Japan,Yamaguchi Ken,Yamaguchi,759-1602,Asia/Tokyo,0,34.183,131.467,1.2,tp1
::ffff:100:6e00,::ffff:100:6fff,AS,JP,Japan,Tokyo To,Tokyo,100-2211,Asia/Tokyo,0,35.6895,139.69232,1.2,tp1
::ffff:100:7000,::ffff:100:70ff,AS,JP,Japan,Tottori Ken,Yonago,689-3592,Asia/Tokyo,0,35.43274,133.3334,1.2,tp1
::ffff:100:7100,::ffff:100:71ff,AS,JP,Japan,Tottori Ken,Kurayoshi,682-8633,Asia/Tokyo,0,35.433,133.817,1.2,tp1
::ffff:100:7200,::ffff:100:72ff,AS,JP,Japan,Yamaguchi Ken,Shimonoseki,759-6615,Asia/Tokyo,0,33.95,130.933,1.2,tp1
::ffff:100:7300,::ffff:100:73ff,AS,JP,Japan,Yamaguchi Ken,Iwakuni,742-0492,Asia/Tokyo,0,34.15,132.183,1.2,tp1
::ffff:100:7400,::ffff:100:74ff,AS,JP,Japan,Shimane Ken,Matsue,699-0496,Asia/Tokyo,0,35.467,133.05,1.2,tp1
::ffff:100:7500,::ffff:100:75ff,AS,JP,Japan,Yamaguchi Ken,Yamaguchi,759-1602,Asia/Tokyo,0,34.183,131.467,1.2,tp1
::ffff:100:7600,::ffff:100:76ff,AS,JP,Japan,Tokyo To,Tokyo,100-2211,Asia/Tokyo,0,35.6895,139.69232,1.2,tp1
::ffff:100:7700,::ffff:100:79ff,AS,JP,Japan,Shimane Ken,Matsue,699-0496,Asia/Tokyo,0,35.467,133.05,1.2,tp1
::ffff:100:7a00,::ffff:100:7bff,AS,JP,Japan,Tottori Ken,Kurayoshi,682-8633,Asia/Tokyo,0,35.433,133.817,1.2,tp1
::ffff:100:7c00,::ffff:100:7cff,AS,JP,Japan,Yamaguchi Ken,Shimonoseki,759-6615,Asia/Tokyo,0,33.95,130.933,1.2,tp1
::ffff:100:7d00,::ffff:100:7dff,AS,JP,Japan,Yamaguchi Ken,Yamaguchi,759-1602,Asia/Tokyo,0,34.183,131.467,1.2,tp1
::ffff:100:7e00,::ffff:100:7eff,AS,JP,Japan,Tottori Ken,Tottori-shi,689-1326,Asia/Tokyo,0,35.50011,134.23284,1.2,tp1
::ffff:100:7f00,::ffff:100:7fff,AS,JP,Japan,Yamaguchi Ken,Yamaguchi,759-1602,Asia/Tokyo,0,34.183,131.467,1.2,tp1
::ffff:100:8000,::ffff:100:80ff,AS,TH,Thailand,Songkhla,Hat Yai,90110,Asia/Jakarta,0,7.00836,100.47668,1.2,tp1
::ffff:100:8100,::ffff:100:83ff,AS,TH,Thailand,Bangkok,Sathorn,10200,Asia/Jakarta,0,13.74998,100.51682,1.2,tp1
::ffff:100:8400,::ffff:100:84ff,AS,TH,Thailand,Nakhon Ratchasima,Pak Chong,30130,Asia/Jakarta,0,14.70802,101.41614,1.2,tp1
::ffff:100:8500,::ffff:100:87ff,AS,TH,Thailand,Bangkok,Sathorn,10200,Asia/Jakarta,0,13.74998,100.51682,1.2,tp1
::ffff:100:8800,::ffff:100:88ff,AS,TH,Thailand,Prachuap Khiri Khan,Bang Saphan,77140,Asia/Jakarta,0,11.21259,99.51167,1.2,tp1
::ffff:100:8900,::ffff:100:89ff,AS,TH,Thailand,Surat Thani,Surat Thani,84150,Asia/Jakarta,0,9.14011,99.33311,1.2,tp1
::ffff:100:8a00,::ffff:100:8aff,AS,TH,Thailand,Nakhon Phanom,Na Wa,48180,Asia/Jakarta,0,17.4897,104.10056,1.2,tp1
::ffff:100:8b00,::ffff:100:8cff,AS,TH,Thailand,Bangkok,Sathorn,10200,Asia/Jakarta,0,13.74998,100.51682,1.2,tp1
::ffff:100:8d00,::ffff:100:8dff,AS,TH,Thailand,Phetchaburi,Pattaya,76130,Asia/Jakarta,0,12.93301,100.88408,1.2,tp1
::ffff:100:8e00,::ffff:100:8fff,AS,TH,Thailand,Bangkok,Sathorn,10200,Asia/Jakarta,0,13.74998,100.51682,1.2,tp1
::ffff:100:9000,::ffff:100:90ff,AS,TH,Thailand,Phang Nga,Khura Buri,82150,Asia/Jakarta,0,9.19397,98.41514,1.2,tp1
::ffff:100:9100,::ffff:100:91ff,AS,TH,Thailand,Nakhon Si Thammarat,Ron Phibun,80130,Asia/Jakarta,0,8.17911,99.85425,1.2,tp1
::ffff:100:9200,::ffff:100:92ff,AS,TH,Thailand,Chumphon,Tha Sae,86140,Asia/Jakarta,0,10.66461,99.17281,1.2,tp1
::ffff:100:9300,::ffff:100:93ff,AS,TH,Thailand,Phang Nga,Phang Nga,82130,Asia/Jakarta,0,8.4509,98.52985,1.2,tp1
::ffff:100:9400,::ffff:100:94ff,AS,TH,Thailand,Phang Nga,Thai Mueang,82120,Asia/Jakarta,0,8.39914,98.26061,1.2,tp1
::ffff:100:9500,::ffff:100:95ff,AS,TH,Thailand,Krabi,Ban Ao Nang,81130,Asia/Jakarta,0,8.0458,98.81035,1.2,tp1
::ffff:100:9600,::ffff:100:96ff,AS,TH,Thailand,Nakhon Si Thammarat,Tham Phannara,80150,Asia/Jakarta,0,8.42044,99.39517,1.2,tp1
::ffff:100:9700,::ffff:100:97ff,AS,TH,Thailand,Nakhon Si Thammarat,Thung Yai,80240,Asia/Jakarta,0,8.30119,99.3661,1.2,tp1
::ffff:100:9800,::ffff:100:98ff,AS,TH,Thailand,Phang Nga,Khura Buri,82150,Asia/Jakarta,0,9.19397,98.41514,1.2,tp1
::ffff:100:9900,::ffff:100:99ff,AS,TH,Thailand,Nakhon Si Thammarat,Khanom,80270,Asia/Jakarta,0,9.20807,99.86143,1.2,tp1
::ffff:100:9a00,::ffff:100:9aff,AS,TH,Thailand,Krabi,Krabi,81130,Asia/Jakarta,0,8.07257,98.91052,1.2,tp1
::ffff:100:9b00,::ffff:100:9bff,AS,TH,Thailand,Chumphon,Sawi,86130,Asia/Jakarta,0,10.23683,99.10958,1.2,tp1
::ffff:100:9c00,::ffff:100:9cff,AS,TH,Thailand,Phang Nga,Kapong,82000,Asia/Jakarta,0,8.69697,98.40914,1.2,tp1
::ffff:100:9d00,::ffff:100:9dff,AS,TH,Thailand,Nakhon Si Thammarat,Tha Sala,80160,Asia/Jakarta,0,8.66733,99.93078,1.2,tp1
::ffff:100:9e00,::ffff:100:9eff,AS,TH,Thailand,Phang Nga,Phang Nga,82130,Asia/Jakarta,0,8.4509,98.52985,1.2,tp1
::ffff:100:9f00,::ffff:100:9fff,AS,TH,Thailand,Krabi,Krabi,81130,Asia/Jakarta,0,8.07257,98.91052,1.2,tp1
::ffff:100:a000,::ffff:100:a0ff,AS,TH,Thailand,Phuket,Thalang,83110,Asia/Jakarta,0,8.0317,98.33408,1.2,tp1
::ffff:100:a100,::ffff:100:a1ff,AS,TH,Thailand,Nakhon Si Thammarat,Ratsada,80320,Asia/Jakarta,0,7.97467,99.63353,1.2,tp1
::ffff:100:a200,::ffff:100:a2ff,AS,TH,Thailand,Nakhon Si Thammarat,Chulabhorn,80130,Asia/Jakarta,0,8.07597,99.86947,1.2,tp1
::ffff:100:a300,::ffff:100:a3ff,AS,TH,Thailand,Krabi,Krabi,81130,Asia/Jakarta,0,8.07257,98.91052,1.2,tp1
::ffff:100:a400,::ffff:100:a4ff,AS,TH,Thailand,Krabi,Ban Ao Nang,81130,Asia/Jakarta,0,8.0458,98.81035,1.2,tp1
::ffff:100:a500,::ffff:100:a5ff,AS,TH,Thailand,Songkhla,Songkhla,90120,Asia/Jakarta,0,7.19882,100.5951,1.2,tp1
::ffff:100:a600,::ffff:100:a6ff,AS,TH,Thailand,Surat Thani,Ko Pha Ngan,84280,Asia/Jakarta,0,9.71945,99.99511,1.2,tp1
::ffff:100:a700,::ffff:100:a7ff,AS,TH,Thailand,Krabi,Saladan,81150,Asia/Jakarta,0,7.61342,99.03651,1.2,tp1
::ffff:100:a800,::ffff:100:a8ff,AS,TH,Thailand,Samut Songkhram,Samut Songkhram,75000,Asia/Jakarta,0,13.41456,100.00264,1.2,tp1
::ffff:100:a900,::ffff:100:a9ff,AS,TH,Thailand,Kanchanaburi,Tha Maka,71120,Asia/Jakarta,0,13.92081,99.76553,1.2,tp1
::ffff:100:aa00,::ffff:100:aaff,AS,TH,Thailand,Suphanburi,Suphan Buri,72150,Asia/Jakarta,0,14.47418,100.12218,1.2,tp1
::ffff:100:ab00,::ffff:100:abff,AS,TH,Thailand,Phra Nakhon Si Ayutthaya,Wang Noi,13170,Asia/Jakarta,0,14.22689,100.7155,1.2,tp1
::ffff:100:ac00,::ffff:100:acff,AS,TH,Thailand,Phang Nga,Kapong,82000,Asia/Jakarta,0,8.69697,98.40914,1.2,tp1
::ffff:100:ad00,::ffff:100:adff,AS,TH,Thailand,Phuket,Phuket,83120,Asia/Jakarta,0,7.89048,98.39811,1.2,tp1
::ffff:100:ae00,::ffff:100:aeff,AS,TH,Thailand,Krabi,Saladan,81150,Asia/Jakarta,0,7.61342,99.03651,1.2,tp1
::ffff:100:af00,::ffff:100:afff,AS,TH,Thailand,Nakhon Si Thammarat,Chulabhorn,80130,Asia/Jakarta,0,8.07597,99.86947,1.2,tp1
::ffff:100:b000,::ffff:100:bdff,AS,TH,Thailand,Bangkok,Sathorn,10200,Asia/Jakarta,0,13.74998,100.51682,1.2,tp1
::ffff:100:be00,::ffff:100:beff,AS,TH,Thailand,Nakhon Si Thammarat,Nakhon Si Thammarat,80230,Asia/Jakarta,0,8.43333,99.96667,1.2,tp1
::ffff:100:bf00,::ffff:100:c5ff,AS,TH,Thailand,Bangkok,Sathorn,10200,Asia/Jakarta,0,13.74998,100.51682,1.2,tp1
::ffff:100:c600,::ffff:100:c6ff,AS,TH,Thailand,Surat Thani,Ko Samui,84140,Asia/Jakarta,0,9.53567,99.93567,1.2,tp1
::ffff:100:c700,::ffff:100:c8ff,AS,TH,Thailand,Bangkok,Sathorn,10200,Asia/Jakarta,0,13.74998,100.51682,1.2,tp1
::ffff:100:c900,::ffff:100:c9ff,AS,TH,Thailand,Samut Prakan,Phra Pradaeng,10130,Asia/Jakarta,0,13.65831,100.53348,1.2,tp1
::ffff:100:ca00,::ffff:100:caff,AS,TH,Thailand,Trang,Trang,92140,Asia/Jakarta,0,7.55633,99.61141,1.2,tp1
::ffff:100:cb00,::ffff:100:cbff,AS,TH,Thailand,Ranong,Kapoe,85120,Asia/Jakarta,0,9.58522,98.59611,1.2,tp1
::ffff:100:cc00,::ffff:100:ccff,AS,TH,Thailand,Kanchanaburi,Nong Prue,71220,Asia/Jakarta,0,14.61144,99.45033,1.2,tp1
::ffff:100:cd00,::ffff:100:cfff,AS,TH,Thailand,Bangkok,Sathorn,10200,Asia/Jakarta,0,13.74998,100.51682,1.2,tp1
::ffff:100:d000,::ffff:100:d0ff,AS,TH,Thailand,Lamphun,Ban Hong,51130,Asia/Jakarta,0,18.33086,98.81925,1.2,tp1
::ffff:100:d100,::ffff:100:d1ff,AS,TH,Thailand,Nan,Santi Suk,55000,Asia/Jakarta,0,18.9137,100.9417,1.2,tp1
::ffff:100:d200,::ffff:100:d2ff,AS,TH,Thailand,Suphanburi,Song Phi Nong,72110,Asia/Jakarta,0,14.22408,100.02094,1.2,tp1
::ffff:100:d300,::ffff:100:d3ff,AS,TH,Thailand,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya,13120,Asia/Jakarta,0,14.35167,100.57739,1.2,tp1
::ffff:100:d400,::ffff:100:d4ff,AS,TH,Thailand,Lampang,Mae Mo,52220,Asia/Jakarta,0,18.27561,99.65044,1.2,tp1
::ffff:100:d500,::ffff:100:d5ff,AS,TH,Thailand,Chiang Mai,Chiang Mai,50000,Asia/Jakarta,0,18.79069,98.98468,1.2,tp1
::ffff:100:d600,::ffff:100:d6ff,AS,TH,Thailand,Yala,Yala,95000,Asia/Jakarta,0,6.53995,101.28128,1.2,tp1
::ffff:100:d700,::ffff:100:d7ff,AS,TH,Thailand,Ubon Ratchathani,Chaloem Phra Kiat,34340,Asia/Jakarta,0,14.55839,102.92475,1.2,tp1
::ffff:100:d800,::ffff:100:d8ff,AS,TH,Thailand,Phuket,Phuket,83120,Asia/Jakarta,0,7.89048,98.39811,1.2,tp1
::ffff:100:d900,::ffff:100:d9ff,AS,TH,Thailand,Bangkok,Sathorn,10200,Asia/Jakarta,0,13.74998,100.51682,1.2,tp1
::ffff:100:da00,::ffff:100:daff,AS,TH,Thailand,Songkhla,Hat Yai,90110,Asia/Jakarta,0,7.00836,100.47668,1.2,tp1
::ffff:100:db00,::ffff:100:dbff,AS,TH,Thailand,Mae Hong Son,Pai,58130,Asia/Jakarta,0,19.36168,98.43973,1.2,tp1
::ffff:100:dc00,::ffff:100:dcff,AS,TH,Thailand,Phuket,Phuket,83120,Asia/Jakarta,0,7.89048,98.39811,1.2,tp1
::ffff:100:dd00,::ffff:100:dfff,AS,TH,Thailand,Bangkok,Sathorn,10200,Asia/Jakarta,0,13.74998,100.51682,1.2,tp1
::ffff:100:e000,::ffff:100:e1ff,AS,TH,Thailand,Mukdahan,Mukdahan,49000,Asia/Jakarta,0,16.54531,104.72351,1.2,tp1
::ffff:100:e200,::ffff:100:e2ff,AS,TH,Thailand,Khon Kaen,Nong Na Kham,40220,Asia/Jakarta,0,16.8043,102.33647,1.2,tp1
::ffff:100:e300,::ffff:100:e3ff,AS,TH,Thailand,Udon Thani,Kut Chap,,Asia/Jakarta,0,17.4257,102.56692,1.2,tp1
::ffff:100:e400,::ffff:100:e4ff,AS,TH,Thailand,Mukdahan,Mukdahan,49000,Asia/Jakarta,0,16.54531,104.72351,1.2,tp1
::ffff:100:e500,::ffff:100:e5ff,AS,TH,Thailand,Udon Thani,Nam Som,42210,Asia/Jakarta,0,17.77036,102.18947,1.2,tp1
::ffff:100:e600,::ffff:100:e6ff,AS,TH,Thailand,Loei,Phu Ruea,42160,Asia/Jakarta,0,17.4538,101.36231,1.2,tp1
::ffff:100:e700,::ffff:100:e7ff,AS,TH,Thailand,Nong Bua Lam Phu,Non Sang,39140,Asia/Jakarta,0,16.8687,102.56642,1.2,tp1
::ffff:100:e800,::ffff:100:e8ff,AS,TH,Thailand,Loei,Dan Sai,42120,Asia/Jakarta,0,17.28011,101.14686,1.2,tp1
::ffff:100:e900,::ffff:100:e9ff,AS,TH,Thailand,Loei,Loei,42000,Asia/Jakarta,0,17.49052,101.72749,1.2,tp1
::ffff:100:ea00,::ffff:100:eaff,AS,TH,Thailand,Loei,Dan Sai,42120,Asia/Jakarta,0,17.28011,101.14686,1.2,tp1
::ffff:100:eb00,::ffff:100:ebff,AS,TH,Thailand,Loei,Phu Ruea,42160,Asia/Jakarta,0,17.4538,101.36231,1.2,tp1
::ffff:100:ec00,::ffff:100:ecff,AS,TH,Thailand,Loei,Loei,42000,Asia/Jakarta,0,17.49052,101.72749,1.2,tp1
::ffff:100:ed00,::ffff:100:edff,AS,TH,Thailand,Mukdahan,Mukdahan,49000,Asia/Jakarta,0,16.54531,104.72351,1.2,tp1
::ffff:100:ee00,::ffff:100:eeff,AS,TH,Thailand,Loei,Wang Saphung,42130,Asia/Jakarta,0,17.30097,101.7685,1.2,tp1
::ffff:100:ef00,::ffff:100:efff,AS,TH,Thailand,Nong Khai,Pak Khat,43190,Asia/Jakarta,0,18.3528,103.413,1.2,tp1
::ffff:100:f000,::ffff:100:f0ff,AS,TH,Thailand,Krabi,Ko Lanta,81150,Asia/Jakarta,0,7.53362,99.08647,1.2,tp1
::ffff:100:f100,::ffff:100:f1ff,AS,TH,Thailand,Nakhon Si Thammarat,Nakhon Si Thammarat,80230,Asia/Jakarta,0,8.43333,99.96667,1.2,tp1
::ffff:100:f200,::ffff:100:f2ff,AS,TH,Thailand,Phang Nga,Kapong,82000,Asia/Jakarta,0,8.69697,98.40914,1.2,tp1
::ffff:100:f300,::ffff:100:f3ff,AS,TH,Thailand,Nakhon Si Thammarat,Thung Song,80110,Asia/Jakarta,0,8.16453,99.68039,1.2,tp1
::ffff:100:f400,::ffff:100:f4ff,AS,TH,Thailand,Chumphon,Chumphon,86140,Asia/Jakarta,0,10.5,99.16667,1.2,tp1
::ffff:100:f500,::ffff:100:f5ff,AS,TH,Thailand,Phang Nga,Takua Pa,82110,Asia/Jakarta,0,8.8705,98.34383,1.2,tp1
::ffff:100:f600,::ffff:100:f6ff,AS,TH,Thailand,Phang Nga,Kapong,82000,Asia/Jakarta,0,8.69697,98.40914,1.2,tp1
::ffff:100:f700,::ffff:100:f7ff,AS,TH,Thailand,Chumphon,Sawi,86130,Asia/Jakarta,0,10.23683,99.10958,1.2,tp1
::ffff:100:f800,::ffff:100:f8ff,AS,TH,Thailand,Songkhla,Ranot,90140,Asia/Jakarta,0,7.77768,100.32134,1.2,tp1
::ffff:100:f900,::ffff:100:f9ff,AS,TH,Thailand,Songkhla,Chana,90130,Asia/Jakarta,0,6.91542,100.74039,1.2,tp1
