startIp,endIp,ipVersion,serviceName,serviceUrl,exitNodeType,lastSeen,lastSeenStr,exitNodeRegion,hostname,countryCode,cityName,latitude,longitude
192.200.150.32,192.200.150.32,4,IPVanish,https://ipvanish.com,vpn_server,1761315156655,2025-10-24T14:12:36.655Z,ipvanish-US-Atlanta-atl-a39,,,,,
104.193.135.136,104.193.135.136,4,MullvadVPN,https://mullvad.net,exit_node,1760876184524,2025-10-19T12:16:24.524Z,mullvad_ca_all,,CA,,,
216.151.184.197,216.151.184.197,4,IPVanish,https://ipvanish.com,exit_node,1761073180115,2025-10-21T18:59:40.115Z,,,,,,
212.102.45.52,212.102.45.52,4,NordVPN,https://nordvpn.com,vpn_server,1761315177504,2025-10-24T14:12:57.504Z,United States #5076,,,,,
37.19.218.170,37.19.218.170,4,NordVPN,https://nordvpn.com,exit_node,1761277124718,2025-10-24T03:38:44.718Z,ua58.nordvpn.com,,UA,,,
85.190.233.109,85.190.233.109,4,NordVPN,https://nordvpn.com,exit_node,1758922820112,2025-09-26T21:40:20.112Z,Italy #272,,IT,Rome,41.8902,12.4922
103.108.231.180,103.108.231.180,4,ProtonVPN,https://protonvpn.com,exit_node,1760986084858,2025-10-20T18:48:04.858Z,au,,AU,,,
146.70.173.109,146.70.173.109,4,MullvadVPN,https://mullvad.net,exit_node,1757173762178,2025-09-06T15:49:22.178Z,us-lax-wg-402,,us,Los Angeles,34.05223,-118.24368
38.240.225.68,38.240.225.68,4,MullvadVPN,https://mullvad.net,vpn_server,1761315181008,2025-10-24T14:13:01.008Z,"Calgary, Canada",,,,,
46.183.110.44,46.183.110.44,4,NordVPN,https://nordvpn.com,vpn_server,1761315177504,2025-10-24T14:12:57.504Z,United Kingdom #2718,,,,,
216.238.119.109,216.238.119.109,4,TunnelBear,https://tunnelbear.com,exit_node,1761328352041,2025-10-24T17:52:32.041Z,,,,,,
216.73.160.135,216.73.160.135,4,ExpressVPN,https://expressvpn.com,exit_node,1761108212202,2025-10-22T04:43:32.202Z,USA - New York,,US,New York,40.71427,-74.00597
107.170.59.91,107.170.59.91,4,TunnelBear,https://tunnelbear.com,exit_node,1761328352043,2025-10-24T17:52:32.043Z,,,,,,
212.32.94.28,212.32.94.28,4,NordVPN,https://nordvpn.com,exit_node,1756902850275,2025-09-03T12:34:10.275Z,tn2.nordvpn.com,,TN,,,
151.241.122.63,151.241.122.63,4,Private Internet Access,https://privateinternetaccess.com,exit_node,1759780362494,2025-10-06T19:52:42.494Z,,,,,,
