startIp,endIp,ipVersion,datacenter,domain
108.177.168.0,108.177.171.255,4,"LeaseWeb USA, Inc. Los Angeles",leaseweb.com
188.94.90.0,188.94.91.255,4,PageMaster Ltd - Hosting and Colocation,pagemaster.ru
182.72.40.4,182.72.40.7,4,Orange Business Services,unbelievable-machine.com
79.123.62.184,79.123.62.191,4,Routed Connection,claranet.co.uk
76.12.99.192,76.12.99.207,4,Private Customer,ipxo.com
195.157.211.216,195.157.211.223,4,Claranet UK Ltd,claranet.co.uk
45.196.15.0,45.196.15.255,4,Cloud Innovation Ltd,cloudinnovation.org
185.163.1.0,185.163.1.255,4,G-Core Labs S.A.,gcore.com
188.114.250.61,188.114.250.61,4,MissDomain Group AB,missgroup.com
40.223.88.0,40.223.88.255,4,Private Customer,ipxo.com
198.179.52.0,198.179.55.255,4,Wholesail networks LLC,null
156.245.228.0,156.245.228.255,4,Cloud Innovation Ltd,cloudinnovation.org
86.110.253.195,86.110.253.195,4,VNET a.s.,vnet.sk
62.20.76.56,62.20.76.59,4,Nethouse Sverige AB,nethouse.se
178.173.243.0,178.173.243.255,4,Krixe Pte. Ltd.,krixe.com
185.209.112.0,185.209.112.255,4,Selectel Network,selectel.ru
178.33.135.48,178.33.135.63,4,OVH SAS,ovhcloud.com
217.13.99.0,217.13.99.255,4,Xenox IT & Kommunikations GmbH,xenox-it.at
147.124.15.0,147.124.15.255,4,ZOHO CORPORATION PTE. LTD.,zoho.com
217.69.4.0,217.69.5.255,4,Vultr Holdings LLC Paris,vultr.com
78.47.165.64,78.47.165.79,4,Hetzner Online GmbH,hetzner.com
109.74.151.206,109.74.151.206,4,VNET a.s.,vnet.sk
194.250.185.56,194.250.185.63,4,Orange Business Services,unbelievable-machine.com
136.243.250.40,136.243.250.47,4,Hetzner Online GmbH,hetzner.com
212.16.236.192,212.16.236.255,4,SOCO Network Solutions GmbH,soco.net
82.129.179.96,82.129.179.111,4,Internet Cafe,modmc.net
41.208.34.134,41.208.34.134,4,adsl,ipsism.co.jp
69.94.248.204,69.94.248.207,4,Private Customer,ipxo.com
45.43.40.0,45.43.40.255,4,ZENLA-1,zenlayer.com
173.208.223.120,173.208.223.127,4,"Dedispec, LLC.",dedispec.com
51.241.158.0,51.241.158.255,4,Private Customer,ipxo.com
188.225.60.0,188.225.60.255,4,"JSC ""TIMEWEB""",timeweb.ru
86.54.115.144,86.54.115.151,4,GCI Network Solutions,gcicom.net
87.233.66.216,87.233.66.223,4,TrueFullstaq B.V.,truefullstaq.com
87.249.54.0,87.249.54.255,4,"JSC ""TIMEWEB""",timeweb.ru
77.90.4.191,77.90.4.191,4,GHOSTnet GmbH,ghostnet.de
185.90.63.0,185.90.63.255,4,Customer Prefix,itproximus.lt
217.113.171.0,217.113.171.255,4,M247 Europe SRL,m247.com
136.0.255.0,136.0.255.255,4,Private Customer,ipxo.com
144.76.89.208,144.76.89.215,4,Hetzner Online GmbH,hetzner.com
81.93.168.0,81.93.168.15,4,Orange Business Digital Norway AS,basefarm.com
89.191.224.0,89.191.224.255,4,JSC Selectel,selectel.ru
138.113.55.0,138.113.55.255,4,Private Customer,ipxo.com
154.198.251.0,154.198.251.255,4,CenturyNetworks LTD,10g.lu
46.229.230.151,46.229.230.151,4,VNET a.s.,vnet.sk
217.160.93.0,217.160.93.255,4,IONOS SE,ionos.com
141.255.181.0,141.255.181.7,4,Proserve B.V.,proserve.nl
94.130.164.0,94.130.164.63,4,Hetzner Online GmbH,hetzner.com
212.44.16.80,212.44.16.87,4,Redcentric Managed Solutions Limited,redcentricplc.com
129.232.234.64,129.232.234.71,4,xneelo-tscolo,xneelo.com
90.83.64.232,90.83.64.239,4,Orange Business Services,unbelievable-machine.com
71.6.131.64,71.6.131.127,4,"CariNet, Inc.",cari.net
217.198.208.136,217.198.208.143,4,Infrastruktur,netzhaus.ag
162.250.56.0,162.250.59.255,4,"TECH VAULT, INC.",continent8.com
85.12.4.144,85.12.4.159,4,c/o LacMont AG,privadovpn.com
128.14.208.0,128.14.208.255,4,ZENLA-1,zenlayer.com
92.240.236.234,92.240.236.234,4,VNET a.s.,vnet.sk
23.145.48.0,23.145.48.255,4,xTom,xtom.com
86.110.237.49,86.110.237.49,4,VNET a.s.,vnet.sk
91.216.228.0,91.216.228.255,4,SYNTIS SARL,syntis.net
71.6.208.64,71.6.208.127,4,"CariNet, Inc.",cari.net
203.25.119.0,203.25.119.255,4,365 Group LLC,greenserver.io
185.244.66.0,185.244.66.255,4,THOMAS FAMILY INVESTMENTS LIMITED,thinkhuge.net
89.207.131.245,89.207.131.245,4,Snel.com B.V.,snel.com
217.64.226.0,217.64.226.127,4,Ensono Ltd,ensono.com
